name,wikipedia_url,Does_Sam_Think_is_real,match_confidence,original_designation,OBJECTID,status,validated,validation_notes,summary,education,dob,dod,place_of_birth,place_of_death,gender,involved_in_sports,involved_in_politics,involved_in_military,involved_in_music
Allapattah,https://en.wikipedia.org/wiki/DJ_Uncle_Al,no,55,,,Found,TRUE,seq=3.8; last-mismatch:-4; human:+40; fl:+10; us:+5,"DJ Uncle Al was a pioneering American DJ and producer known for his influential work in the Bay Area hip-hop scene during the 1980s and 1990s. Born Alfred Pegler, he gained recognition for his mixtapes, radio shows, and contributions to the development of West Coast hip-hop culture. His career included collaborations with notable artists and a reputation for breaking new music before it reached mainstream audiences. Though his exact birth and death dates are not widely documented, his legacy endures in the history of hip-hop DJing and production.",,,,not found,not found,male,no,no,no,yes
Don Shula,https://en.wikipedia.org/wiki/Don_Shula,no,55,,,Found,TRUE,seq=20.0; human:+40; fl-miss:-10; us:+5,Summary extraction failed.,,,,not found,not found,not found,no,no,no,no
Dr. T. Stewart Greer,https://en.wikipedia.org/wiki/Kenneth_Heilman,no,55,,,Found,TRUE,seq=3.4; last-mismatch:-4; human:+40; fl:+10; us:+5,"Kenneth Heilman is a prominent American neurologist and researcher known for his groundbreaking work in behavioral neurology and neuropsychology. Born in 1938, he has made significant contributions to understanding brain-behavior relationships, particularly in areas like neglect syndrome, apraxia, and emotional processing. Heilman served as a professor and academic leader at institutions like the University of Florida, where he directed the neurology department and mentored numerous students. His research and publications have profoundly influenced clinical neurology and cognitive neuroscience, earning him recognition as a leading figure in the field.","['University of Virginia, MD, 1963', 'Dartmouth College, BA, 1960']",1938-01-01,,not found,not found,male,no,no,no,no
Jose Regueiro,https://en.wikipedia.org/wiki/Kirk_Douglas,no,55,,,Found,TRUE,seq=4.8; last-mismatch:-4; human:+40; fl:+10; us:+5,Summary extraction failed.,,,,not found,not found,not found,no,no,no,no
Raquel Regalado,https://en.wikipedia.org/wiki/Cindy_Lerner,no,55,,,Found,TRUE,seq=4.4; last-mismatch:-4; human:+40; fl:+10; us:+5,"Cindy Lerner was an American politician and environmental advocate known for her service as a commissioner in Pinecrest, Florida. She was first elected in 2008 and later became the village's mayor, focusing on sustainability and climate change initiatives. Lerner co-founded the nonprofit Catalyst Miami, which aimed to address economic and environmental justice issues. Her career was marked by advocacy for community resilience and progressive local governance until her passing in 2021.","['University of Miami, Coral Gables, Florida', ""Bachelor's Degree in Political Science (assumed, exact degree not specified)"", 'Florida International University (attended for graduate studies, specifics unclear)']",1958-01-01,2021-02-12,not found,"Miami, Florida, United States",female,no,yes,no,no
Reverend Max Salvador,https://en.wikipedia.org/wiki/Anna_Paulina_Luna,no,55,,,Found,TRUE,seq=5.3; last-mismatch:-4; human:+40; fl:+10; us:+5,"Anna Paulina Luna is an American politician and military veteran born on May 1, 1989. She served in the U.S. Air Force before entering politics as a Republican representative for Florida's 13th congressional district since 2023. Luna gained attention for her conservative stances and advocacy on issues like border security and veterans' rights. Her election marked her as one of the youngest women serving in the 118th U.S. Congress.","['University of West Florida, Bachelor of Arts in Political Science (2019)']",1989-05-01,,"Santa Barbara, California, United States",not found,female,no,yes,yes,no
Toussaint L'Ouverture,https://en.wikipedia.org/wiki/Georges_Biassou,no,55,,,Found,TRUE,seq=2.2; last-mismatch:-4; human:+40; fl:+10; us:+5,"Georges Biassou was a key leader in the Haitian Revolution, born in the late 18th century in Saint-Domingue (modern-day Haiti). As an enslaved African, he rose to prominence as a military commander during the 1791 slave uprising against French colonial rule. Biassou initially allied with Spanish forces in Santo Domingo, earning the rank of general and fighting for slave emancipation. His leadership played a pivotal role in the early stages of the revolution, though his later years and exact death date remain poorly documented.",,1741-01-01,,"Saint-Domingue, Haiti",not found,male,no,yes,yes,no
"Victor Hernandez, Sr.",https://en.wikipedia.org/wiki/Joe_Carollo,no,55,,,Found,TRUE,seq=2.5; last-mismatch:-4; human:+40; fl:+10; us:+5,"Joe Carollo was an American politician best known for his controversial tenure on the Miami City Commission from 1979 to 1987. Born in 1940, he gained notoriety for his anti-communist stance, political feuds, and involvement in a private security firm that faced allegations of impropriety. His career included passing the 'Carollo amendment,' which restricted city contracts with companies linked to communist regimes. Carollo's political legacy remains polarizing due to his aggressive tactics and ethical controversies during his time in office.",,1940-01-01,,not found,not found,male,no,yes,no,no
Zuly Reyes,https://en.wikipedia.org/wiki/Michelle_Bachelet,no,55,,,Found,TRUE,seq=5.9; last-mismatch:-4; human:+40; fl:+10; us:+5,"Verónica Michelle Bachelet Jeria was born on September 29, 1951, in Santiago, Chile. She is a physician and politician who served as the first female President of Chile for two non-consecutive terms (2006–2010 and 2014–2018). Bachelet also held key roles in the United Nations, including as the High Commissioner for Human Rights (2018–2022), and was Chile’s first female Minister of Defense (2002–2004). Her leadership marked significant progress in gender equality, social reforms, and human rights advocacy in Chile and globally.","['Universidad de Chile, Faculty of Medicine', 'Doctor in Medicine (1979)', 'Inter-American Defense College, Washington D.C.', 'Strategic Studies (1997–1998)', 'Universidad de Chile', 'Master in Military Science (Strategy and Policy)']",1951-09-29,,"Santiago, Chile",not found,female,no,yes,yes,no
Andrew J. Aviles,https://en.wikipedia.org/wiki/Aaron_Hernandez,no,55,,,Found,TRUE,seq=5.2; last-mismatch:-4; human:+40; fl:+10; us:+5,"Aaron Hernandez was born on November 6, 1989, and died by suicide on April 19, 2017, while serving a life sentence for murder. He was a professional American football player, known for his career as a tight end with the New England Patriots in the NFL. Hernandez achieved notable success in college football at the University of Florida, earning All-American honors in 2009. His life and career were overshadowed by his conviction for the 2013 murder of Odin Lloyd, marking a tragic fall from athletic stardom to incarceration.","['Bristol Central High School, Connecticut', ""University of Florida, Bachelor's (unconfirmed completion)""]",1989-11-06,2017-04-19,"Bristol, Connecticut, United States","Shirley, Massachusetts, United States",male,yes,no,no,no
Gonzmart,https://en.wikipedia.org/wiki/Ferdie_Pacheco,no,55,,,Found,TRUE,seq=1.8; last-mismatch:-4; human:+40; fl:+10; us:+5,"Ferdie Pacheco (1927–2017) was an American physician, artist, and boxing commentator best known as Muhammad Ali’s longtime cornerman and fight doctor. Born in Tampa, Florida, he became a prominent figure in the boxing world while also pursuing careers in painting and writing. Pacheco co-founded the Fight Doctor TV show and authored several books, blending his medical expertise with his passion for sports and art. His contributions to boxing history and pop culture cemented his legacy beyond his medical profession.","['University of Miami, Coral Gables, Florida', 'Medical degree (MD), University of Miami School of Medicine']",1927-09-01,2017-11-16,"Tampa, Florida, United States","Miami, Florida, United States",male,yes,no,no,no
Stevie LaDue Giving Hope,https://en.wikipedia.org/wiki/Barry_Jenkins,no,55,,,Found,TRUE,seq=3.2; last-mismatch:-4; human:+40; fl:+10; us:+5,"Barry Jenkins is an American filmmaker born on November 19, 1979, in Miami, Florida. He is best known for directing the critically acclaimed film Moonlight (2016), which won the Academy Award for Best Picture. Jenkins also directed If Beale Street Could Talk (2018), earning further praise for his storytelling and visual style. His work often explores themes of identity, race, and human connection, establishing him as a significant voice in contemporary cinema.","['Florida State University, College of Motion Picture Arts, BFA', 'Florida State University, College of Motion Picture Arts, MFA']",1979-11-19,,"Miami, Florida, United States",not found,male,no,no,no,no
Schrader,https://en.wikipedia.org/wiki/Ken_Schrader,no,55,,,Found,TRUE,seq=16.0; human:+40; fl-miss:-10; us:+5,"Ken Schrader is an American former professional stock car racing driver born May 29, 1955, in Fenton, Missouri. He is best known for his career in NASCAR, where he competed in the Cup Series from 1984 to 2013, earning four wins and 64 top-ten finishes. Schrader also raced in the IndyCar Series, ARCA, and various dirt track competitions, showcasing his versatility across motorsports. Though retired from full-time racing, he remains a respected figure in the sport and continues to participate in select events and racing promotions.",,1955-05-29,,"Fenton, Missouri, United States",not found,male,yes,no,no,no
Sergeant Brian LaVigne,https://en.wikipedia.org/wiki/Jim_Nolan_%28biker%29,no,55,,1584,Found,TRUE,seq=2.6; last-mismatch:-4; human:+40; fl:+10; us:+5,"Jim Nolan was a notorious figure associated with the Outlaws Motorcycle Club, a prominent outlaw biker gang. Born in the mid-20th century, he became infamous for his alleged involvement in multiple violent crimes, including murders linked to biker gang rivalries. Nolan was a key figure in the Outlaws' conflicts with the Hells Angels during the 1970s and 1980s, cementing his reputation in organized crime circles. His life and criminal activities have been documented in true crime literature and media, though specific birth and death dates remain publicly unverified.",,,,not found,not found,male,no,no,no,no
"Sgt. George Lee Taylor, Sr.",https://en.wikipedia.org/wiki/Nikki_Bella,no,55,,,Found,TRUE,seq=4.2; last-mismatch:-4; human:+40; fl:+10; us:+5,"Nikki Bella (born Stephanie Nicole Garcia-Colace) is an American professional wrestler, actress, and entrepreneur born on November 21, 1983. She gained fame as one-half of The Bella Twins alongside her twin sister Brie Bella in WWE, becoming one of the most recognizable female wrestlers of her era. Nikki is a two-time WWE Divas Champion and holds the record for the longest single reign in the title's history (301 days). Beyond wrestling, she has appeared in reality TV shows like Total Divas and Total Bellas, expanding her influence in entertainment and business ventures.",,1983-11-21,,"San Diego, California, United States",not found,female,yes,no,no,no
98 Points of Light,https://en.wikipedia.org/wiki/Jason_Williams_%28basketball%2C_born_1975%29,no,55,,,Found,TRUE,seq=5.0; last-mismatch:-4; human:+40; fl:+10; us:+5,"Jason Williams, born in 1975, is a retired American professional basketball player known for his flashy passing and playmaking skills. Nicknamed 'White Chocolate,' he played in the NBA for teams like the Sacramento Kings, Memphis Grizzlies, and Miami Heat, earning an NBA championship in 2006. His career spanned from 1998 to 2011, marked by creativity on the court and a cult following among fans. Williams also played collegiately at the University of Florida and later transitioned into coaching after retirement.","['University of Florida', 'DuPont High School (West Virginia)']",1975-11-18,,"Belle, West Virginia, United States",not found,male,yes,no,no,no
Soul of Miami,https://en.wikipedia.org/wiki/Bobby_Caldwell,no,55,,,Found,TRUE,seq=3.0; last-mismatch:-4; human:+40; fl:+10; us:+5,"Bobby Caldwell was an American singer, songwriter, and musician born on August 15, 1951, best known for his soulful voice and hits like What You Won’t Do for Love. His music blended R&B, jazz, and pop, earning him a dedicated following and influencing later artists across genres. Caldwell’s career spanned over four decades, marked by collaborations with major artists and contributions to film soundtracks. He passed away on March 14, 2023, leaving behind a legacy as one of the most distinctive voices in contemporary music.",,1951-08-15,2023-03-14,"New York City, New York, USA","Great Meadows, New Jersey, USA",male,no,no,no,yes
United Spanish War Veterans,https://en.wikipedia.org/wiki/Anna_Paulina_Luna,no,55,,,Found,TRUE,seq=2.7; last-mismatch:-4; human:+40; fl:+10; us:+5,"Anna Paulina Luna is an American politician and military veteran born on May 1, 1989. She served in the U.S. Air Force before transitioning into politics as a Republican representative for Florida's 13th congressional district since 2023. Luna gained attention for her conservative stances and advocacy on issues like border security and veterans' rights. Her election marked her as one of the youngest women and the first Mexican-American woman to represent Florida in Congress.","['University of West Florida, Bachelor of Arts in Political Science (unconfirmed degree - institution verified)', 'Air Force Technical Training (military education)']",1989-05-01,,"Santa Monica, California, United States",not found,female,no,yes,yes,no
Backwood,https://en.wikipedia.org/wiki/Gigi_Perez,no,55,,,Found,TRUE,seq=0.0; last-mismatch:-4; human:+40; fl:+10; us:+5,"Gigi Perez is a musician known for her work in the music industry, particularly as part of the group Wendy Lane. Her career includes studio albums, extended plays, and singles, showcasing her contributions to contemporary music. While specific birth and death dates are not publicly documented, her discography highlights her influence in the field. Perez remains a notable figure in music, recognized for her artistic output and collaborations.",,,,not found,not found,female,no,no,no,yes
DeSoto,https://en.wikipedia.org/wiki/Hernando_de_Soto,no,54.9,,,Found,TRUE,seq=10.9; last-mismatch:-4; human:+40; fl:+10,"Hernando de Soto was a Spanish explorer and conquistador born around 1500 in Jerez de los Caballeros, Spain. He played a key role in the Spanish conquest of Peru alongside Francisco Pizarro, accumulating significant wealth from the plunder of the Inca Empire. De Soto later led the first European expedition deep into the southeastern United States, exploring regions like Florida, Georgia, and the Mississippi River between 1539 and 1542. He died in 1542 near the Mississippi River in present-day Arkansas, leaving a controversial legacy as both a pioneering explorer and a figure associated with violence against Indigenous peoples.",,1500-01-01,1542-05-21,"Jerez de los Caballeros, Badajoz, Spain","Near the Mississippi River, Arkansas, United States",male,no,yes,yes,no
Licata,https://en.wikipedia.org/wiki/Joe_Licata,no,54,,,Found,TRUE,seq=15.0; human:+40; fl-miss:-10; us:+5,"Joe Licata is a former American football quarterback born on November 27, 1992, known for his collegiate career at the University at Buffalo. He set multiple school records, including career passing yards (7,732) and touchdowns (58), while leading the Bulls to two bowl game appearances. After college, he briefly pursued a professional career in the NFL and CFL before transitioning into coaching. Licata later became the head coach of the Buffalo State Bengals football team in 2023, marking his continued involvement in the sport.","[""University at Buffalo, Bachelor's Degree (likely in a related field)""]",1992-11-27,,not found,not found,male,yes,no,no,no
"Robert Pittman, Jr.,",https://en.wikipedia.org/wiki/Robert_Pittman_%28media_executive%29,no,53.5,,,Found,TRUE,seq=16.5; last-mismatch:-4; human:+40; fl-miss:-10; us:+5,"Robert Pittman is an American media executive born on November 28, 1953, best known as the co-founder of MTV (Music Television) in 1981, revolutionizing the music and entertainment industry. His leadership at MTV helped shape modern pop culture by merging music with visual media, making it a global phenomenon. Pittman also held executive roles at Time Warner, AOL, and Century 21 Real Estate, showcasing his versatility across media and business sectors. As a pioneering figure in digital media, his work laid the foundation for how music and television intersect today.","['University of Tennessee, Knoxville', 'Bachelor of Science in Radio/TV']",1953-11-28,,"Jackson, Tennessee, United States",not found,male,no,no,no,yes
Kate Ireland,https://en.wikipedia.org/wiki/Marin_Ireland,no,53.4,,,Found,TRUE,seq=14.4; human:+40; fl-miss:-10; us:+5,"Marin Ireland is an American actress born on August 30, 1979, known for her versatile performances across film, television, and theater. She gained recognition for her roles in projects like Hell or High Water (2016), The Umbrella Academy (2019–2020), and the Broadway production of Reasons to Be Pretty (2008), for which she earned a Tony Award nomination. Ireland has also appeared in acclaimed series such as Sneaky Pete (2015–2019) and Y: The Last Man (2021), showcasing her range in both dramatic and comedic roles. Her contributions to stage and screen have established her as a respected figure in contemporary American acting.","['State University of New York at Purchase', 'Bachelor of Fine Arts in Acting', 'The Actors Center (training)']",1979-08-30,,"Camarillo, California, United States",not found,female,no,no,no,no
Busch,https://en.wikipedia.org/wiki/Tim_Busch,no,53.3,,,Found,TRUE,seq=14.3; human:+40; fl-miss:-10; us:+5,"Tim Busch is an American businessman and philanthropist born in 1958. He is best known as the founder and CEO of The Busch Firm, a law practice specializing in business and real estate law. Busch has also been actively involved in Catholic philanthropy, founding organizations like the Napa Institute and supporting various educational and religious initiatives. His career spans law, entrepreneurship, and significant contributions to faith-based communities.","['University of San Diego School of Law', 'Juris Doctor', 'University of California, Los Angeles', 'Bachelor of Arts in Political Science']",1958-01-01,,not found,not found,male,no,no,no,no
"Reverend Murray Hamilton, Sr.",https://en.wikipedia.org/wiki/Steve_Spurrier,no,52.4,,,Found,TRUE,seq=8.4; last-mismatch:-4; human:+40; fl:+10,"Steve Spurrier is an American former football player and coach born April 20, 1945, in Miami Beach, Florida. He won the Heisman Trophy in 1966 as a quarterback for the University of Florida and later became one of college football's most successful coaches. Spurrier led the Florida Gators to six SEC championships and a national title in 1996, pioneering the 'Fun 'n' Gun' offense. Known for his competitive spirit and innovative strategies, he also coached in the NFL and later returned to college football before retiring in 2016.","['Science Hill High School', ""University of Florida, Bachelor's Degree""]",1945-04-20,,"Miami Beach, Florida, United States",not found,male,yes,no,no,no
Richey‐Simpson,https://en.wikipedia.org/wiki/Richard_Corcoran,no,52,,,Found,TRUE,seq=8.0; last-mismatch:-4; human:+40; fl:+10,"Richard Corcoran is an American politician and attorney born in 1964, known for his influential role in Florida's political landscape. He served as the 89th Speaker of the Florida House of Representatives from 2016 to 2018, where he championed conservative policies and education reform. Corcoran later became Florida's Education Commissioner from 2018 to 2022, overseeing the state's K-12 and higher education systems during a period of significant policy changes. His career has been marked by both legislative achievements and controversies, including investigations into bid-rigging during his tenure as commissioner.","['University of South Florida, Bachelor of Arts in Government', 'Stetson University College of Law, Juris Doctor']",1964-01-01,,not found,not found,male,no,yes,no,no
Wallace P. Covington,https://en.wikipedia.org/wiki/Herb_Covington,no,51.9,,,Found,TRUE,seq=12.9; human:+40; fl-miss:-10; us:+5,"Herb Covington was an American football player and coach best known for his contributions to Centre College's football team during the early 1920s. He played a key role in the team's success, including their notable 1921 victory over Harvard, which cemented their reputation as a football powerhouse. After his playing career, Covington transitioned into coaching, continuing his involvement in the sport. Specific birth and death dates for Covington are not widely documented in available sources.",['Centre College'],,,not found,not found,male,yes,no,no,no
Sarah Hayes Rice,https://en.wikipedia.org/wiki/Marco_Rubio,no,51.4,,,Found,TRUE,seq=7.4; last-mismatch:-4; human:+40; fl:+10,"Marco Rubio is an American politician born on May 28, 1971, in Miami, Florida. He has served as the senior United States Senator from Florida since 2011, representing the Republican Party. Rubio was a candidate for the Republican nomination in the 2016 U.S. presidential election and previously served as Speaker of the Florida House of Representatives from 2006 to 2008. Known for his conservative stance on issues like immigration and foreign policy, he remains a prominent figure in national politics.","['Tarkio College, B.A. (attended, did not graduate)', 'Santa Fe Community College, A.A.', 'University of Florida, B.A. in Political Science (1993)', 'University of Miami School of Law, J.D. (1996)']",1971-05-28,,"Miami, Florida, United States",not found,male,no,yes,no,no
Ralph C. Carter,https://en.wikipedia.org/wiki/Nell_Carter,no,51.3,,,Found,TRUE,seq=12.3; human:+40; fl-miss:-10; us:+5,"Nell Carter was an American actress and singer born on September 13, 1948, best known for her Tony Award-nominated role in the Broadway musical Ain't Misbehavin' and her starring role in the 1980s sitcom Gimme a Break! as housekeeper Nell Harper. She began her career in theater, earning critical acclaim for her powerful voice and dynamic stage presence, which led to television and film opportunities. Carter also appeared in productions like Annie and The Grass Harp, showcasing her versatility as a performer. She passed away on January 23, 2003, leaving behind a legacy as a trailblazing Black actress in entertainment.",,1948-09-13,2003-01-23,"Birmingham, Alabama, United States","Beverly Hills, California, United States",female,no,no,no,yes
Challenger,https://en.wikipedia.org/wiki/Ryan_Sweeting,no,51,,,Found,TRUE,seq=7.0; last-mismatch:-4; human:+40; fl:+10,"Ryan Sweeting was a professional tennis player born on July 14, 1987, in Nassau, Bahamas. He achieved his career-high ATP singles ranking of world No. 64 in 2011 and won his only ATP Tour title at the 2011 U.S. Men's Clay Court Championships. Sweeting represented the United States in international competitions after moving there as a teenager. He retired from professional tennis in 2013 due to injuries and passed away on July 18, 2023, at the age of 35.",,1987-07-14,2023-07-18,"Nassau, Bahamas",not found,male,yes,no,no,no
Tera Ross,https://en.wikipedia.org/wiki/Tera_Wray,no,50.3,,,Found,TRUE,seq=13.3; last-mismatch:-4; human:+40; fl-miss:-10; us:+5,"Tera Wray was an American actress born on September 27, 1982, known primarily for her work in adult films during the early 2000s. She began her career in the performing arts industry in 2002 and quickly gained recognition for her roles in various productions. Wray received several industry awards, including nominations for her performances in adult entertainment. She passed away on January 9, 2016, leaving behind a legacy in the genre she helped shape.",,1982-09-27,2016-01-09,not found,"Los Angeles, California, United States",female,no,no,no,no
"Dewey Knight, Jr.,",https://en.wikipedia.org/wiki/Miles_Dewey_Davis_Jr.,no,50.3,,,Found,TRUE,seq=11.3; human:+40; fl-miss:-10; us:+5,"Miles Dewey Davis Jr. was an American boxer born in 1903, best known for his career in the heavyweight division during the early 20th century. He was the son of the renowned boxer Miles Dewey Davis Sr., who was a prominent figure in the sport. Davis Jr. followed in his father's footsteps but did not achieve the same level of fame or success. His contributions to boxing remain a lesser-known part of the Davis family legacy in sports history.",,1903-01-01,,not found,not found,male,yes,no,no,no
Sheriff Chris Daniels,https://en.wikipedia.org/wiki/Ben_Daniels_%28pioneer%29,no,50.2,,,Found,TRUE,seq=11.2; human:+40; fl-miss:-10; us:+5,"Ben Daniels was an American frontier lawman and pioneer born in 1852, known for his roles in the Wild West era. He served as a deputy marshal in Dodge City, Kansas, and later became the United States Marshal for the Territory of Arizona. Daniels was also a member of the Rough Riders during the Spanish-American War and played a key part in the Gray County War. His career reflected the tumultuous law enforcement challenges of the late 19th and early 20th centuries in the American West.",,1852-01-01,,not found,not found,male,no,yes,yes,no
African Caribbean Cultural Arts,https://en.wikipedia.org/wiki/Jonathan_Green_%28painter%29,no,50.2,,,Found,TRUE,seq=6.2; last-mismatch:-4; human:+40; fl:+10,"Jonathan Green is an American painter born in 1955, renowned for his vibrant depictions of Gullah culture and the African American experience in the Southern United States. His artwork often explores themes of spirituality, community, and heritage, earning him recognition as a significant figure in contemporary American art. Green has exhibited his work extensively in solo and group exhibitions, with pieces held in numerous public collections across the United States. He remains an influential artist, celebrated for his contributions to preserving and promoting African American cultural identity through visual art.","['School of the Art Institute of Chicago, BFA', 'Art Institute of Chicago, MFA']",1955-01-01,,"Gardens Corner, South Carolina, United States",not found,male,no,no,no,no
Coral Way State,https://en.wikipedia.org/wiki/Wade_Wilson_%28criminal%29,no,50.2,,,Found,TRUE,seq=6.2; last-mismatch:-4; human:+40; fl:+10,"Wade Wilson is an American criminal known for committing multiple murders in the 1990s. Born in the United States, he gained notoriety for his violent crimes, which included the killings of several individuals. His case drew significant media attention and public outrage, leading to a high-profile trial and eventual conviction. Wilson remains incarcerated for his crimes, serving a life sentence without the possibility of parole.",,,,not found,not found,male,no,no,no,no
Arthur & Polly Mays,https://en.wikipedia.org/wiki/Rue_McClanahan,no,50.1,,,Found,TRUE,seq=6.1; last-mismatch:-4; human:+40; fl:+10,"Rue McClanahan was an American actress born on February 21, 1934, best known for her iconic role as Blanche Devereaux on the NBC sitcom The Golden Girls (1985–1992). She began her career in theater and television, earning an Emmy Award for her performance in Maude (1977) before achieving global fame with The Golden Girls, which won multiple awards and became a cultural phenomenon. Beyond acting, she was an advocate for LGBTQ+ rights and animal welfare, reflecting her progressive values. McClanahan passed away on June 3, 2010, leaving behind a legacy as one of television’s most beloved comedic actresses.","['University of Tulsa, Bachelor of Arts in German', 'Studied acting at the HB Studio (New York City)']",1934-02-21,2010-06-03,"Hebalds, Oklahoma, United States","New York City, New York, United States",female,no,yes,no,no
Deputy Donald Ray Cook,https://en.wikipedia.org/wiki/Matt_Gaetz,no,50,,,Found,TRUE,seq=2.5; last-mismatch:-4; human:+40; fl:+10,"Matthew Louis Gaetz II was born on May 7, 1982, in Hollywood, Florida, USA. He is an American politician and attorney who has served as the U.S. Representative for Florida's 1st congressional district since 2017. Prior to his federal role, Gaetz was a member of the Florida House of Representatives from 2010 to 2016, where he gained attention for his conservative stances. Known for his alignment with former President Donald Trump and controversial public statements, Gaetz remains a prominent and polarizing figure in U.S. politics.","['Florida State University, BS in Interdisciplinary Sciences (2003)', 'College of William & Mary, JD (2007)']",1982-05-07,,"Hollywood, Florida, United States",not found,male,no,yes,no,no
Walter Francis Spence,https://en.wikipedia.org/wiki/Robert_F._Marx,no,50,,,Found,TRUE,seq=5.7; last-mismatch:-4; human:+40; fl:+10,"Robert F. Marx (1933–2019) was an American underwater archaeologist, explorer, and former U.S. Marine known for his controversial discoveries of shipwrecks and artifacts. He claimed to have found Roman amphorae in the Americas, challenging traditional views of pre-Columbian transoceanic contact, though his findings were widely disputed. Marx authored numerous books on maritime history and exploration, blending adventure with speculative theories about ancient civilizations. His career spanned military service, deep-sea diving, and a lifelong pursuit of proving unconventional historical narratives until his death in 2019.",,1933-01-01,2019-01-01,not found,not found,male,no,no,yes,no
"Robert ‘Bobby’ L. Parker, Sr.",https://en.wikipedia.org/wiki/John_F._Kennedy,no,50,,,Found,TRUE,seq=5.5; last-mismatch:-4; human:+40; fl:+10,"John F. Kennedy was born on May 29, 1917, in Brookline, Massachusetts, and became the 35th President of the United States, serving from 1961 until his assassination in 1963. A graduate of Harvard University, he is best known for his leadership during the Cuban Missile Crisis, the establishment of the Peace Corps, and his vision for space exploration, including the Apollo moon landing program. Prior to his presidency, Kennedy served as a U.S. Navy lieutenant during World War II, where his heroism after the sinking of PT-109 earned him national recognition. His presidency, often referred to as 'Camelot,' left a lasting impact on American politics and global diplomacy before his tragic death on November 22, 1963, in Dallas, Texas.","['Choate Rosemary Hall (preparatory school)', 'Princeton University (briefly attended, 1935–1936)', 'Harvard College, Bachelor of Arts in Government (1940)', 'Stanford Graduate School of Business (briefly attended, 1940)']",1917-05-29,1963-11-22,"Brookline, Massachusetts, United States","Dallas, Texas, United States",male,yes,yes,yes,no
Southeastern Guide Dog,https://en.wikipedia.org/wiki/Ron_Bass_%28wrestler%29,no,50,,,Found,TRUE,seq=4.0; last-mismatch:-4; human:+40; fl:+10,"Ron Bass was an American professional wrestler born on March 19, 1948, known for his imposing presence and rugged in-ring style. He began his career in 1971 within the National Wrestling Alliance (NWA), where he became a prominent figure and held multiple regional championships. In the late 1980s, Bass transitioned to the World Wrestling Federation (WWF), where he gained further recognition as a formidable heel (villain) wrestler. He retired from wrestling in the early 1990s and passed away on March 7, 2017, leaving behind a legacy as one of the toughest competitors of his era.",,1948-03-19,2017-03-07,not found,not found,male,yes,no,no,no
The Honorable Dale G. Bennett,https://en.wikipedia.org/wiki/Rex_Walters,no,50,,,Found,TRUE,seq=5.0; last-mismatch:-4; human:+40; fl:+10,"Rex Walters is a former American professional basketball player and coach born on February 24, 1970. He played college basketball at Northwestern University and the University of Kansas, where he earned All-Big Eight honors in 1993. Walters had a seven-year NBA career, playing for teams like the New Jersey Nets and Philadelphia 76ers, before transitioning into coaching. As a coach, he led the University of San Francisco men's basketball team from 2008 to 2016, becoming one of the program's most successful coaches in recent history.","['Northwestern University', ""University of Kansas, Bachelor's Degree (likely in Communications or related field)""]",1970-02-24,,"Omaha, Nebraska, United States",not found,male,yes,no,no,no
Sergeant Ricky Lord,https://en.wikipedia.org/wiki/Ossie_Davis,no,50,,,Found,TRUE,seq=5.3; last-mismatch:-4; human:+40; fl:+10,"Ossie Davis was an American actor, director, writer, and civil rights activist born on December 18, 1917. He gained prominence for his work on Broadway, in films like Do the Right Thing (1989), and as a pioneering Black artist in Hollywood. Alongside his wife Ruby Dee, he became a key figure in the Civil Rights Movement, collaborating with leaders like Martin Luther King Jr. Davis passed away on February 4, 2005, leaving behind a legacy as a trailblazer in theater, film, and social justice.","['Howard University', 'Columbia University (unfinished)']",1917-12-18,2005-02-04,"Cogdell, Georgia, United States","Miami Beach, Florida, United States",male,no,yes,yes,no
Sheriff Stanley H. Cannon,https://en.wikipedia.org/wiki/Ron_DeSantis,no,50,,,Found,TRUE,seq=3.2; last-mismatch:-4; human:+40; fl:+10,"Ron DeSantis was born on September 14, 1978, in Jacksonville, Florida, USA. He is an American politician and attorney who served as a U.S. Representative from 2013 to 2018 before becoming the 46th Governor of Florida in 2019. A graduate of Yale University and Harvard Law School, DeSantis also served as an officer in the U.S. Navy, including a deployment to Iraq as a JAG officer. Known for his conservative policies, he has been a prominent figure in national Republican politics and a potential presidential candidate.","['Yale University, Bachelor of Arts (History)', 'Harvard Law School, Juris Doctor', 'U.S. Naval Justice School, Naval Officer Training']",1978-09-14,,"Jacksonville, Florida, United States of America",not found,male,yes,yes,yes,no
C. Fred and Marvin Arrington,https://en.wikipedia.org/wiki/Eleanor_Sobel,no,50,,,Found,TRUE,seq=4.9; last-mismatch:-4; human:+40; fl:+10,"Eleanor Sobel was an American politician who served in the Florida State Legislature for over a decade. She began her political career on the Broward County School Board before being elected to the Florida House of Representatives in 2002. Sobel later served in the Florida Senate from 2010 to 2016, where she focused on education and healthcare policy. Her political career also included a run for mayor of Hollywood, Florida, in 2016 before her passing in 2017.",,,2017-01-01,not found,"Hollywood, Florida, United States",female,no,yes,no,no
