name,original_designation,county,wikipedia_url,status,match_confidence,validated,validation_notes,summary,education,dob,dod,place_of_birth,place_of_death,gender,involved_in_sports,involved_in_politics,involved_in_military,involved_in_music
Marilyn Culp,Marilyn Culp Way,Miami‐Dade,https://en.wikipedia.org/wiki/Barbara_Bush,Found,47.7,true,seq=6.7; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5,"Barbara Bush was born on June 8, 1925, and passed away on April 17, 2018. She was the First Lady of the United States from 1989 to 1993 as the wife of President George H. W. Bush, and earlier served as the Second Lady from 1981 to 1989. Known for her advocacy in literacy and family issues, she founded the Barbara Bush Foundation for Family Literacy. Her influence extended beyond politics, making her a respected figure in American history for her dedication to public service and philanthropy.","['Ashley Hall School (boarding school)', 'Smith College (attended but did not graduate)']",1925-06-08,2018-04-17,"New York City, New York, United States","Houston, Texas, United States",female,no,yes,no,no
Marjory Stoneman Douglas Sunset,Marjory Stoneman Douglas Sunset Drive,Miami‐Dade,https://en.wikipedia.org/wiki/Karamo_Brown,Found,47.0,true,seq=5.6; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5,"Karamo Brown is an American television host, reality TV personality, and activist born on November 2, 1980. He is best known as the culture expert on the Netflix reboot of Queer Eye, which earned him widespread recognition and acclaim. Brown began his career in social work and media, later expanding into activism focused on LGBTQ+ rights, mental health, and racial justice. His work spans television, podcasting, and public speaking, making him a prominent voice in modern pop culture and social advocacy.","['Florida A&M University', ""Bachelor's degree in Psychology""]",1980-11-02,,"Houston, Texas, United States of America",not found,male,no,yes,no,no
Martha Flores,Martha Flores Way,Miami‐Dade,https://en.wikipedia.org/wiki/North_American_Youth_Chess_Championship,Found,7.2,true,seq=6.2; last-mismatch:-4; fl:+10; county-miss:-8; us:+5,"The North American Youth Chess Championship is an annual chess tournament for young players across North America. It features both open and girls' divisions, awarding gold medals to champions in various age categories. The event serves as a platform for identifying and nurturing young chess talent in the region. While not tied to a single individual, it has historical significance in promoting youth engagement in competitive chess.",,,,not found,not found,not found,yes,no,no,no
Mary Ellen Miller,Mary Ellen Miller Way,Miami‐Dade,https://en.wikipedia.org/wiki/Carol_Marbin_Miller,Found,18.2,true,seq=12.2; fl:+10; county-miss:-8,"Carol Marbin Miller is an American investigative journalist best known for her award-winning work at the Miami Herald. She gained national recognition for the Innocents Lost series, which exposed systemic failures in Florida’s child welfare system and won the 2015 Pulitzer Prize for Public Service. Her reporting has led to significant policy reforms and heightened accountability in child protection agencies. Miller’s career exemplifies the impact of investigative journalism on social justice and government transparency.","['University of Florida, Bachelor of Science in Journalism']",,,not found,not found,female,no,no,no,no
Maurice Rosen,Maurice Rosen Boulevard,Miami‐Dade,https://en.wikipedia.org/wiki/Maurice_Braverman,Found,3.7,true,seq=14.7; last-mismatch:-4; fl-miss:-10; county-miss:-8; us:+5,"Maurice Braverman was an American lawyer born in 1906, best known for his involvement in the Alger Hiss case as a defense attorney. He was later arrested, convicted of perjury in 1950, and disbarred due to his alleged ties to the Communist Party. After serving his sentence, Braverman was reinstated to the Maryland Bar in 1960 and continued practicing law. He died in 1980, leaving a complex legacy tied to Cold War-era political controversies and legal battles.",,1906-01-01,1980-01-01,not found,not found,male,no,yes,no,no
Miami Medical Team,Miami Medical Team Way,Miami‐Dade,https://en.wikipedia.org/wiki/Jos%C3%A9_R._Oliva,Found,47.0,true,seq=2.6; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5,"José R. Oliva is a Cuban-American politician who served as Speaker of the Florida House of Representatives from 2018 to 2020. Born in Cuba, he immigrated to the United States and became a prominent figure in Florida's Republican Party. Oliva is known for his leadership in healthcare policy, particularly as a strong advocate for free-market reforms in the medical sector. His political career reflects his background as a healthcare executive and entrepreneur in Miami-Dade County.",,,,Cuba,not found,male,no,yes,no,no
Milton Littman,Milton Littman Memorial Bridge,Miami‐Dade,https://en.wikipedia.org/wiki/Linda_November,Found,27.0,true,seq=4.3; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5,"Linda November was an American jingle singer born in the 1940s, best known for her prolific work in commercial advertising from the 1960s through the 1990s. She lent her voice to countless iconic jingles for brands like McDonald's, Coca-Cola, and Band-Aid, earning her the nickname 'The Queen of Jingles.' Beyond commercials, she contributed as a backup singer for notable artists and worked on various music projects throughout her career. Her contributions to advertising music left a lasting impact on pop culture and the industry itself.",,1940-01-01,,not found,not found,female,no,no,no,yes
Miss Lillie Williams,Miss Lillie Williams Boulevard,Miami‐Dade,https://en.wikipedia.org/wiki/Hank_Williams,Found,41.9,true,seq=10.9; human:+40; fl-miss:-10; county-miss:-8; us:+5,"Hank Williams (1923–1953) was an iconic American singer-songwriter and musician who became one of the most influential figures in country music. Born in Mount Olive, Alabama, he rose to fame in the 1940s with hits like 'Your Cheatin' Heart' and 'I'm So Lonesome I Could Cry,' shaping the honky-tonk style. Despite his short career, Williams achieved 11 number-one hits and was posthumously inducted into the Country Music Hall of Fame. His untimely death at age 29 cemented his legacy as a foundational artist in American music history.",,1923-09-17,1953-01-01,"Mount Olive, Alabama, United States","Oak Hill, West Virginia, United States",male,no,no,no,yes
Mrs. Ann Carlton,Mrs. Ann Carlton Bridge,Miami‐Dade,https://en.wikipedia.org/wiki/William_Chapman_Potter,Found,42.3,true,seq=6.3; last-mismatch:-4; human:+40; fl:+10; county-miss:-8,"William Chapman Potter was born on March 26, 1840, in New York City, New York. He served as a career officer in the United States Army, notably participating in the American Civil War and later conflicts. Potter also contributed to military education and infrastructure projects, including the construction of the Panama Canal. He died on November 20, 1921, leaving a legacy in military engineering and leadership.","['United States Military Academy, West Point, Bachelor of Science, 1861']",1840-03-26,1921-11-20,"New York City, New York, United States","Washington, D.C., United States",male,no,no,yes,no
MSgt. Benjamin Strickland,MSgt. Benjamin Strickland Highway,Miami‐Dade,https://en.wikipedia.org/wiki/List_of_accidents_and_incidents_involving_military_aircraft_%281945%E2%80%931949%29,Found,0.0,true,seq=4.3; last-mismatch:-4; fl-miss:-10; county-miss:-8; nobility:-40,"This content does not provide biographical information about an individual but instead references a Wikipedia list of military aircraft accidents and incidents between 1945 and 1949. The page catalogs historical aviation mishaps involving military planes during the post-World War II era, highlighting operational risks and technological challenges of the time. No specific person, birth/death dates, or personal achievements are mentioned in the provided excerpt. The focus is on collective events rather than an individual’s life or career.",,,,not found,not found,not found,no,no,no,no
Natan R. Rok,Natan R. Rok Boulevard,Miami‐Dade,https://en.wikipedia.org/wiki/Genocides_in_history_%28World_War_I_through_World_War_II%29,Found,0.0,true,seq=5.0; last-mismatch:-4; fl-miss:-10; county-miss:-8,"The provided content does not contain biographical information about an individual but instead references a Wikipedia page titled 'Genocides in History (World War I through World War II).' This page appears to be an encyclopedic entry discussing historical genocides during the early to mid-20th century rather than profiling a specific person. No personal details such as birth, death, profession, or achievements are included in the provided navigation or metadata. The content is purely structural, related to Wikipedia’s interface and article organization.",,,,not found,not found,not found,no,no,no,no
Norman Giller,Norman Giller Bridge,Miami‐Dade,https://en.wikipedia.org/wiki/Anna_Paulina_Luna,Found,7.7,true,seq=6.7; last-mismatch:-4; fl:+10; county-miss:-8; us:+5,"Anna Paulina Luna is an American politician and military veteran born on May 6, 1989. She served in the United States Air Force before transitioning into politics as a Republican representative for Florida's 13th congressional district since 2023. Luna is known for her conservative stances and advocacy on issues like border security and veterans' rights. Her career reflects a shift from military service to public office, marking her as a notable figure in contemporary American politics.","['University of West Florida, Bachelor of Arts in Political Science', 'United States Air Force, Technical Training']",1989-05-06,,"Santa Barbara, California, United States",not found,female,no,yes,yes,no
North Miami Beach,North Miami Beach Boulevard,Miami‐Dade,https://en.wikipedia.org/wiki/Marlins_Man,Found,47.0,true,seq=5.7; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5,"Marlins Man is an American sports fan who gained internet fame for attending high-profile sporting events while wearing a Miami Marlins jersey. Rising to prominence in the 2010s, he became known for his appearances at major games, including the Super Bowl, NBA Finals, and World Series, often photographed alongside celebrities. His identity remains publicly undisclosed, adding to his mystique as a cultural icon among sports enthusiasts. Though not a professional athlete, his dedication to fandom and event attendance made him a notable figure in sports pop culture.",,,,not found,not found,male,yes,no,no,no
Ofelia Perez‐Roura,Ofelia Perez‐Roura Memorial Way,Miami‐Dade,https://en.wikipedia.org/wiki/List_of_Puerto_Rican_films,Found,0.0,true,seq=7.3; last-mismatch:-4; fl-miss:-10; county-miss:-8; nobility:-40,"This content does not provide biographical information about an individual but instead lists Puerto Rican films by decade from 1909 onward. It serves as a historical catalog of cinematic works originating from Puerto Rico, highlighting the evolution of its film industry. No specific person, birth/death dates, or personal achievements are mentioned in the provided excerpt. The document is purely a reference for Puerto Rican cinema rather than a biography.",,,,not found,not found,not found,no,no,no,no
Olga Guillot,Olga Guillot Way,Miami‐Dade,https://en.wikipedia.org/wiki/Albita_Rodr%C3%ADguez,Found,43.1,true,seq=7.1; last-mismatch:-4; human:+40; fl:+10; county-miss:-8,"Albita Rodríguez is a Cuban-American singer and songwriter born in 1966, known for her powerful vocals and contributions to Latin music. She gained fame in the 1990s with her fusion of traditional Cuban son, salsa, and pop, earning critical acclaim and a devoted fanbase. Albita has released multiple albums, collaborated with renowned artists, and received awards for her musical achievements. Her work has cemented her as a significant figure in contemporary Latin music and Afro-Cuban cultural expression.",,1966-01-01,,"Havana, Cuba",not found,female,no,no,no,yes
Orange Bowl,Orange Bowl Way,Miami‐Dade,https://en.wikipedia.org/wiki/Anita_Bryant,Found,43.0,true,seq=7.0; last-mismatch:-4; human:+40; fl:+10; county-miss:-8,"Anita Bryant was an American singer, beauty pageant winner, and conservative activist born on March 25, 1940. She rose to fame in the 1950s and 1960s as a pop singer and commercial spokesperson, notably for Florida orange juice. In the 1970s, she became a prominent anti-gay rights activist, leading the 'Save Our Children' campaign to repeal a Florida ordinance prohibiting discrimination based on sexual orientation. Her activism sparked national controversy, leading to both her political victory in 1977 and subsequent career decline in the 1980s.",,1940-03-25,,"Barnsdall, Oklahoma, United States",not found,female,no,yes,no,yes
Palmetto Bay,Palmetto Bay Boulevard,Miami‐Dade,https://en.wikipedia.org/wiki/Jayden_Higgins,Found,47.0,true,seq=3.1; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5,"Jayden Higgins is an American football player known for his college and professional career. Born in the United States, he gained recognition for his athletic performance during his college years. Higgins transitioned into professional football, contributing to the sport with his skills and dedication. His career statistics and achievements highlight his role as a notable athlete in the field.",['Iowa State University'],,,not found,not found,male,yes,no,no,no
Phicol Williams,Phicol Williams Boulevard,Miami‐Dade,https://en.wikipedia.org/wiki/Homestead%2C_Florida,Found,2.0,true,seq=3.6; last-mismatch:-4; fl:+10; county-miss:-8,"The provided content describes Homestead, Florida, a city rather than an individual, so no biographical details about a person are available. Homestead is known for its agricultural history, tropical climate, and vulnerability to hurricanes like Hurricane Andrew in 1992. It serves as a key part of Miami-Dade County with a diverse demographic profile. The city also hosts infrastructure like Homestead Air Reserve Base and media outlets serving the region.",,,,not found,not found,not found,no,no,no,no
Rafael Diaz-Balart,Rafael Diaz-Balart Way,Miami‐Dade,https://en.wikipedia.org/wiki/Mario_D%C3%ADaz-Balart,Found,64.7,true,seq=13.7; human:+40; fl:+10; county-miss:-8; us:+5,"Mario Díaz-Balart is a Cuban-American politician born on September 25, 1961, in Fort Lauderdale, Florida. He has served as a U.S. Representative for Florida's 25th (2003–2011) and 26th (2013–present) congressional districts, known for his conservative stance and advocacy on issues like Cuba-U.S. relations. Prior to his federal career, he was a member of the Florida House of Representatives (1989–1992) and the Florida Senate (1992–2000). Díaz-Balart is a prominent figure in the Republican Party and the first Cuban-American elected to Congress from Florida, continuing a political legacy tied to his family’s exile from Cuba during Fidel Castro’s revolution.","['University of South Florida, BA (Political Science)', 'Florida International University (attended)']",1961-09-25,,"Fort Lauderdale, Florida, United States",not found,male,no,yes,no,no
Ramon Puig,Ramon Puig Way,Miami‐Dade,https://en.wikipedia.org/wiki/Ram%C3%B3n_Puig,Found,42.0,true,seq=18.0; human:+40; fl-miss:-10; county-miss:-8,"Ramón Puig was a notable figure whose specific contributions remain undocumented in the provided content. No birth or death dates are available from the given information. His profession, achievements, and historical significance are unclear due to lack of detailed biographical data. Further research would be required to accurately summarize his life and work.",,,,not found,not found,male,no,no,no,no
Red Road State Historic,Red Road State Historic Highway,Miami‐Dade,https://en.wikipedia.org/wiki/South_Miami%2C_Florida,Found,7.0,true,seq=5.6; last-mismatch:-4; fl:+10; county-miss:-8; us:+5,"This content describes South Miami, Florida, a city rather than a person. Founded in 1927, it is a suburban community located in Miami-Dade County, known for its proximity to the University of Miami. The city features a mix of residential, commercial, and educational areas, contributing to its cultural and economic diversity. South Miami is recognized for its vibrant downtown, historic sites, and role as a hub within the Greater Miami metropolitan area.",,,,not found,not found,not found,no,no,no,no
Jorge Comesanas,Rev. Jorge Comesanas Way,Miami‐Dade,https://en.wikipedia.org/wiki/Jes%C3%BAs_Permuy,Found,47.0,true,seq=5.9; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5,"Jesús Permuy was a Spanish activist, architect, and urban planner born in the early 20th century. He was a founding member of the Movement for Revolutionary Recovery (MCR), advocating for social justice and political reform during Spain's transition to democracy. Permuy also contributed to human rights activism, architecture, and the arts, leaving a multidisciplinary legacy. His work spanned political engagement, cultural initiatives, and professional practice in urban development.",,,,not found,not found,male,no,yes,no,no
"Reverend Dr. C.P. Preston, Jr","Reverend Dr. C.P. Preston, Jr. Street",Miami‐Dade,https://en.wikipedia.org/wiki/Henry_Louis_Gates_arrest_controversy,Found,2.8,true,seq=6.8; last-mismatch:-4; fl:+10; county-miss:-8,"Henry Louis Gates Jr. (born 1950) is an American literary critic, historian, and filmmaker renowned for his work on African-American studies. He is the Alphonse Fletcher University Professor at Harvard University and director of the Hutchins Center for African & African American Research. Gates has produced and hosted numerous PBS documentaries, including Finding Your Roots and African American Lives, which explore genealogy and cultural identity. His 2009 arrest at his Cambridge home sparked a national debate on racial profiling and police conduct, involving even President Barack Obama in the discourse.","['Yale University, BA in History (1973)', 'Clare College, University of Cambridge, MA (1974)', 'Clare College, University of Cambridge, PhD in English Literature (1979)']",1950-09-16,,"Keyser, West Virginia, United States",not found,male,no,yes,no,no
Reverend Samuel Atchison,Reverend Samuel Atchison Boulevard,Miami‐Dade,https://en.wikipedia.org/wiki/John_Brown_%28abolitionist%29,Found,42.0,true,seq=2.4; last-mismatch:-4; human:+40; rel:+15; fl-miss:-10; county-miss:-8; us:+5,"John Brown was an American abolitionist born on May 9, 1800, who fiercely advocated for the violent overthrow of slavery in the United States. He gained notoriety for his 1859 raid on the federal armory at Harpers Ferry, Virginia, aiming to arm enslaved people and incite a rebellion. Though the raid failed, it intensified tensions leading to the Civil War and cemented his legacy as a polarizing figure in U.S. history. Brown was captured, tried for treason, and executed by hanging on December 2, 1859 in Charles Town, Virginia (now West Virginia).","['Mauri School (preparatory, age 16)', 'self-taught in theology and military tactics']",1800-05-09,1859-12-02,"Torrington, Connecticut, United States","Charles Town, Virginia, United States",male,no,yes,yes,no
Ricardo Karakadze,Ricardo Karakadze Street,Miami‐Dade,Not Found,Not Found,0.0,false,no-candidates,,,,,,,,,,,
Rick Ricciardelli,Rick Ricciardelli Bridge,Miami‐Dade,https://en.wikipedia.org/wiki/2025_Plano_municipal_elections,Found,0.0,true,seq=5.1; last-mismatch:-4; fl-miss:-10; county-miss:-8,"The 2025 Plano municipal elections are scheduled local elections for city council seats in Plano, Texas, USA. These elections will determine representatives for key positions like Place 2 and Place 4 on the city council. While candidate details and endorsements are still emerging, the results will shape Plano's governance and policy direction. The elections reflect ongoing civic engagement in one of Texas's largest and most economically significant cities.",,,,not found,not found,not found,no,yes,no,no
Robert Frost,Robert Frost Highway,Miami‐Dade,https://en.wikipedia.org/wiki/Maxwell_Frost,Found,22.2,true,seq=11.2; fl:+10; county-miss:-8; us:+5,"Maxwell Alejandro Frost is an American politician born on January 17, 1997, who made history as the first member of Generation Z elected to the U.S. Congress. A progressive Democrat, he represents Florida's 10th congressional district in the U.S. House of Representatives, assuming office in January 2023. Before his political career, Frost worked as an activist and organizer, notably with the American Civil Liberties Union (ACLU) and the gun control advocacy group March for Our Lives. His election at age 25 underscored his focus on issues like gun reform, climate justice, and social equity, positioning him as a rising voice in national politics.","['Osceola County School for the Arts, High School Diploma, 2015', 'Valencia College, Associate of Arts, 2017', 'University of Central Florida (attended, no degree conferred)']",1997-01-17,,"Orlando, Florida, United States of America",not found,male,no,yes,no,yes
Robert L. Blum,Robert L. Blum Bridge,Miami‐Dade,https://en.wikipedia.org/wiki/Lennar,Found,7.0,true,seq=2.0; last-mismatch:-4; fl:+10; county-miss:-8; us:+5,"Lennar Corporation is an American home construction and real estate company founded in 1954 by Gene Fisher and Arnold Rosen. Headquartered in Miami, Florida, it has grown into one of the largest homebuilders in the United States, known for large-scale residential developments and urban revitalization projects. The company expanded significantly in the 21st century through acquisitions, including its 2018 merger with CalAtlantic Group, further solidifying its market dominance. Lennar also engages in philanthropy through the Lennar Foundation, supporting education, community development, and disaster relief initiatives.",,,,not found,not found,not found,no,no,no,no
Roi Henri Christophe,Roi Henri Christophe Boulevard,Miami‐Dade,https://en.wikipedia.org/wiki/Henri_Christophe,Found,42.0,true,seq=17.8; human:+40; fl-miss:-10; county-miss:-8,"Henri Christophe was born on October 6, 1767, in Grenada and died on October 8, 1820, in Haiti. He was a key leader in the Haitian Revolution, serving as a general under Toussaint Louverture and later becoming a prominent political figure. Christophe declared himself King Henry I of the Kingdom of Haiti in 1811, ruling the northern part of the country until his suicide in 1820. His reign was marked by ambitious infrastructure projects, including the construction of the Citadelle Laferrière, and a rigid authoritarian rule that left a complex legacy in Haitian history.",,1767-10-06,1820-10-08,"Grenada, British West Indies","Sans-Souci Palace, Milot, Haiti",male,no,yes,yes,no
Roy F. Kenzie,Roy F. Kenzie Bridge,Miami‐Dade,https://en.wikipedia.org/wiki/Jack_Thompson_%28activist%29,Found,47.0,true,seq=3.1; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5,"Jack Thompson (born 1951) is an American activist and former attorney best known for his campaigns against violence in video games and rap music. He gained prominence in the 1990s and 2000s for filing lawsuits against video game companies, arguing their products caused violent behavior. Thompson also targeted rap artists like 2 Live Crew, claiming their lyrics were obscene and harmful to youth. His controversial career ended with disbarment in 2008 after repeated ethical violations and professional misconduct.","['Cleveland State University, Juris Doctor (1976)', 'University of Florida, Bachelor of Arts (1973)']",1951-01-01,,"Cleveland, Ohio, United States",not found,male,no,yes,no,yes
Saint Marcellin Champagnat,Saint Marcellin Champagnat Way,Miami‐Dade,https://en.wikipedia.org/wiki/Marcellin_Champagnat,Found,42.0,true,seq=17.4; human:+40; fl-miss:-10; county-miss:-8,"Marcellin Champagnat was a French Catholic priest born on May 20, 1789, who became renowned for founding the Marist Brothers, a religious congregation dedicated to education. Ordained in 1816, he focused his mission on providing schooling to underprivileged youth, particularly in rural areas of France. His work laid the foundation for the global expansion of Marist educational institutions, emphasizing Christian values and practical skills. Champagnat died on June 6, 1840, and was later canonized as a saint by the Catholic Church in 1999 for his contributions to education and faith.","['Seminary of Saint-Irénée, Lyon', 'Theological studies (ordained priest)']",1789-05-20,1840-06-06,"Le Rosey, Loire, France","Saint-Chamond, Loire, France",male,no,no,no,no
Senator Ruben Mendiola,Senator Ruben Mendiola Way,Miami‐Dade,https://en.wikipedia.org/wiki/Ferdinand_Marcos,Found,43.4,true,seq=7.4; last-mismatch:-4; human:+40; pol:+15; fl-miss:-10; county-miss:-8; us:+5,"Ferdinand Marcos was born on September 11, 1917, in Sarrat, Ilocos Norte, Philippines, and died on September 28, 1989, in Honolulu, Hawaii, USA. He served as the 10th President of the Philippines from 1965 to 1986, a period marked by his declaration of martial law in 1972 and authoritarian rule. Marcos was a lawyer by profession and a World War II veteran, though his military record remains controversial. His presidency was notable for both infrastructure projects and widespread allegations of corruption, human rights abuses, and crony capitalism, culminating in his ousting during the 1986 People Power Revolution.","['University of the Philippines, Bachelor of Arts (1939)', 'University of the Philippines College of Law, Bachelor of Laws (1939, *cum laude*)']",1917-09-11,1989-09-28,"Sarrat, Ilocos Norte, Philippines","Honolulu, Hawaii, United States",male,yes,yes,yes,no
Senator Sherman Winn,Senator Sherman Winn Bridge,Miami‐Dade,https://en.wikipedia.org/wiki/Sherman_S._Winn,Found,79.7,true,seq=13.7; human:+40; pol:+15; fl:+10; county-miss:-8; us:+5,"Sherman S. Winn was an American figure whose life details are sparsely documented in available sources. No specific birth or death dates, notable achievements, or professional roles are clearly outlined in the provided content. The lack of comprehensive biographical information makes it difficult to ascertain his historical significance or primary contributions. Further research would be required to fully understand his background and impact.",,,,not found,not found,male,no,no,no,no
Shawn O'Dare,Shawn O'Dare Way,Miami‐Dade,https://en.wikipedia.org/wiki/2012_Miami_Hurricanes_football_team,Found,0.0,true,seq=3.4; last-mismatch:-4; fl-miss:-10; county-miss:-8,"The 2012 Miami Hurricanes football team represented the University of Miami during the 2012 NCAA Division I FBS football season. Coached by Al Golden, the team competed in the Atlantic Coast Conference (ACC) and finished with a 7-5 record, including a 4-4 mark in conference play. Notable games included a season-opening loss to Kansas State and a rivalry win over Florida State, though the team did not qualify for a bowl game due to self-imposed sanctions. The season was marked by ongoing NCAA investigations into improper benefits, which impacted the program's eligibility and recruiting efforts.",,,,not found,not found,not found,yes,no,no,no
Sidney Alterman,Sidney Alterman Way,Miami‐Dade,https://en.wikipedia.org/wiki/Ezra_Klein,Found,27.0,true,seq=3.2; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5,"Ezra Klein is an American journalist, political commentator, and media entrepreneur born on May 9, 1984. He is best known for co-founding Vox in 2014, a news website focused on explanatory journalism, and for his work as a columnist and editor at The Washington Post and The American Prospect. Klein has been a prominent voice in political analysis, particularly on healthcare policy, progressive politics, and media innovation. His contributions include hosting The Ezra Klein Show, a popular podcast exploring policy, culture, and technology, and authoring the book Why We're Polarized, published in 2020.","['University of California, Los Angeles (UCLA)', 'Bachelor of Arts in Political Science']",1984-05-09,,"Irvine, California, United States",not found,male,no,yes,no,no
Sigmund Zilber,Sigmund Zilber Memorial Highway,Miami‐Dade,https://en.wikipedia.org/wiki/Stephan_Roll,Found,22.2,true,seq=6.2; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8,"Stephan Roll was a Romanian journalist and political activist known for his involvement in communist and left-wing movements during the early to mid-20th century. He played a significant role in the communist schism of Romania and contributed to publications like unu, Cuvântul Liber, and Reporter. Roll's career spanned the interwar period and extended through World War II, reflecting his engagement with the era's turbulent political landscape. His literary work and activism left a mark on Romania's intellectual and political history, though specific birth and death dates remain undocumented in the provided content.",,,,not found,not found,male,no,yes,no,no
South Bayshore Drive Historic,South Bayshore Drive Historic Highway,Miami‐Dade,https://en.wikipedia.org/wiki/Miami_Beach%2C_Florida,Found,7.5,true,seq=6.5; last-mismatch:-4; fl:+10; county-miss:-8; us:+5,"The provided content does not contain biographical information about a person but instead describes Miami Beach, Florida, a coastal city known for its beaches, Art Deco architecture, and vibrant nightlife. Founded in 1915, it became a popular tourist destination in the early 20th century, attracting celebrities and developers. The city is located on barrier islands between Biscayne Bay and the Atlantic Ocean, facing challenges like tidal flooding due to its low elevation. Miami Beach remains a cultural and economic hub in South Florida, renowned for its historic districts and international events.",,,,not found,not found,not found,no,no,no,no
South Miami Avenue Historic,South Miami Avenue Historic Highway,Miami‐Dade,https://en.wikipedia.org/wiki/South_Miami%2C_Florida,Found,21.8,true,seq=12.8; last-mismatch:-4; fl:+10; county-miss:-8; us:+5,"The provided content describes South Miami, Florida rather than a biographical subject. South Miami is a city located in Miami-Dade County, known for its suburban setting and proximity to the University of Miami. It was incorporated in 1927 and has since developed into a vibrant community with a diverse population. The city is recognized for its cultural, educational, and economic contributions to the Miami metropolitan area.",,,,not found,not found,not found,no,no,no,no
Steve Mainster,Steve Mainster Memorial Drive,Miami‐Dade,Not Found,Not Found,0.0,false,no-candidates,,,,,,,,,,,
Steven Cranman,Steven Cranman Boulevard,Miami‐Dade,https://en.wikipedia.org/wiki/Harry_Carey_filmography,Found,0.0,true,seq=4.3; last-mismatch:-4; fl-miss:-10; county-miss:-8,"Harry Carey was an American actor born on January 16, 1878, and passed away on September 21, 1947. He became one of Hollywood’s earliest and most prolific stars, appearing in over 200 silent and sound films during his career. Known for his rugged, authoritative roles, Carey was a major figure in Westerns and worked with legendary directors like John Ford. His contributions to early cinema cemented his legacy as a pioneer in the film industry.",,1878-01-16,1947-09-21,"The Bronx, New York, United States","Brentwood, California, United States",male,no,no,no,no
Sunny Isles,Sunny Isles Boulevard,Miami‐Dade,https://en.wikipedia.org/wiki/Dave_Duerson,Found,47.0,true,seq=3.5; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5,"Dave Duerson was an American professional football player born on November 28, 1960, who achieved prominence as a safety in the NFL. He played for teams like the Chicago Bears, New York Giants, and Phoenix Cardinals, earning four Pro Bowl selections and two Super Bowl victories during his career. After retiring from football, Duerson became involved in business and philanthropy, including advocacy for retired NFL players' health and safety. He died by suicide on February 17, 2011, at age 50, with his brain later diagnosed with chronic traumatic encephalopathy (CTE) linked to repeated head injuries from football.","['University of Notre Dame', ""Bachelor's degree in Business Administration""]",1960-11-28,2011-02-17,"Muncie, Indiana, United States","Sunny Isles Beach, Florida, United States",male,yes,no,no,no
Sunset Drive State Historic,Sunset Drive State Historic Highway,Miami‐Dade,https://en.wikipedia.org/wiki/U.S._Route_90_in_Florida,Found,8.1,true,seq=7.1; last-mismatch:-4; fl:+10; county-miss:-8; us:+5,"The provided content describes U.S. Route 90 in Florida, a major east-west highway traversing the northern part of the state. It is not biographical content about a person, so no birth, death, or personal achievements are applicable. The route passes through key counties like Escambia, Santa Rosa, and Okaloosa, including notable sections such as the Pensacola Scenic Bluffs Highway. Historically, it serves as a significant transportation corridor connecting Florida’s panhandle to other regions.",,,,not found,not found,not found,no,no,no,no
Tanya Martin Oubre Pekel,Tanya Martin Oubre Pekel Street,Miami‐Dade,Not Found,Not Found,0.0,false,no-candidates,,,,,,,,,,,
Trooper Robert G. Smith,Trooper Robert G. Smith Bridge,Miami‐Dade,https://en.wikipedia.org/wiki/George_Floyd_protests,Found,17.0,true,seq=4.5; last-mismatch:-4; le:+15; fl:+10; county-miss:-8,"George Floyd was an African American man whose murder by a police officer in Minneapolis on May 25, 2020, sparked global protests against police brutality and systemic racism. Born in Fayetteville, North Carolina, in 1973, Floyd worked various jobs, including as a security guard and truck driver, before relocating to Minnesota for a fresh start. His death, captured on video, became a catalyst for the Black Lives Matter movement and widespread calls for police reform. The protests following his murder were among the largest in U.S. history, drawing millions to demand racial justice and accountability.",,1973-10-14,2020-05-25,"Fayetteville, North Carolina, United States","Minneapolis, Minnesota, United States",male,yes,no,no,yes
"Victor Hernandez, Sr","Victor Hernandez, Sr. Way",Miami‐Dade,https://en.wikipedia.org/wiki/V%C3%ADctor_Vassallo,Found,5.1,true,seq=9.1; last-mismatch:-4; fl:+10; county-miss:-8,"Víctor Vassallo is a notable figure recognized for his contributions in sports and politics. Born in the 20th century, he pursued higher education while also excelling in athletics during his early years. His professional career expanded into political engagement, marking him as a multifaceted leader in his community. Vassallo’s legacy is tied to his dual roles as an athlete and public servant, though specific birth/death dates remain undocumented in the provided content.",,,,not found,not found,male,yes,yes,no,no
