name,original_designation,county,candidate_title,match_confidence,validation_notes
Roi Henri Christophe,Roi Henri Christophe Boulevard,Miami‐Dade,Henri Christophe,42.0,seq=17.8; human:+40; fl-miss:-10; county-miss:-8
Roy F. Kenzie,Roy F. Kenzie Bridge,Miami‐Dade,Jack Thompson (activist),47.0,seq=3.1; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Saint Marcellin Champagnat,Saint Marcellin Champagnat Way,Miami‐Dade,Marcellin Champagnat,42.0,seq=17.4; human:+40; fl-miss:-10; county-miss:-8
Senator Ruben Mendiola,Senator Ruben Mendiola Way,Miami‐Dade,Ferdinand Marcos,43.4,seq=7.4; last-mismatch:-4; human:+40; pol:+15; fl-miss:-10; county-miss:-8; us:+5
Shawn O'Dare,Shawn O'Dare Way,Miami‐Dade,2012 Miami Hurricanes football team,0.0,seq=3.4; last-mismatch:-4; fl-miss:-10; county-miss:-8
Sidney Alterman,Sidney Alterman Way,Miami‐Dade,Ezra Klein,27.0,seq=3.2; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5
Sigmund Zilber,Sigmund Zilber Memorial Highway,Miami‐Dade,Stephan Roll,22.2,seq=6.2; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8
South Bayshore Drive Historic,South Bayshore Drive Historic Highway,Miami‐Dade,"Miami Beach, Florida",7.5,seq=6.5; last-mismatch:-4; fl:+10; county-miss:-8; us:+5
South Miami Avenue Historic,South Miami Avenue Historic Highway,Miami‐Dade,South Beach,12.4,seq=8.4; last-mismatch:-4; fl:+10; county-miss:-8
Steve Mainster,Steve Mainster Memorial Drive,Miami‐Dade,,0.0,no-candidates
Steven Cranman,Steven Cranman Boulevard,Miami‐Dade,Harry Carey filmography,0.0,seq=4.3; last-mismatch:-4; fl-miss:-10; county-miss:-8
Sunny Isles,Sunny Isles Boulevard,Miami‐Dade,"Sunny Isles Beach, Florida",20.9,seq=11.9; last-mismatch:-4; fl:+10; county-miss:-8; us:+5
Sunset Drive State Historic,Sunset Drive State Historic Highway,Miami‐Dade,"South Miami, Florida",8.7,seq=7.7; last-mismatch:-4; fl:+10; county-miss:-8; us:+5
Tanya Martin Oubre Pekel,Tanya Martin Oubre Pekel Street,Miami‐Dade,,0.0,no-candidates
Trooper Robert G. Smith,Trooper Robert G. Smith Bridge,Miami‐Dade,James W. Hutchins,42.0,seq=5.0; last-mismatch:-4; human:+40; le:+15; fl-miss:-10; county-miss:-8; us:+5
"Victor Hernandez, Sr","Victor Hernandez, Sr. Way",Miami‐Dade,Joe Carollo,47.0,seq=2.6; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
William H. Turner,William H. Turner Memorial Boulevard,Miami‐Dade,William H. Turner (politician),67.0,seq=20.0; human:+40; fl:+10; county-miss:-8; us:+5
Willy Chirino,Willy Chirino Boulevard,Miami‐Dade,Willy Chirino,47.0,seq=20.0; human:+40; fl-miss:-10; county-miss:-8; us:+5
Yitzhak Rabin,Yitzhak Rabin Boulevard,Miami‐Dade,Yitzhak Rabin,47.0,seq=20.0; human:+40; fl-miss:-10; county-miss:-8; us:+5
Dante B. Fascell,Dante B. Fascell Bridge,Monroe,Dante Fascell,67.0,seq=17.9; human:+40; fl:+10; county-miss:-8; us:+5
"Whale Harbor Joe Roth, Jr","Whale Harbor Joe Roth, Jr., Bridge",Monroe,John Anderson (actor),27.0,seq=5.3; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5
Harry S. Truman Overseas,Harry S. Truman Overseas Highway,Multiple Counties,Harry S. Truman,44.4,seq=15.4; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5
Gale Lemerand,Gale Lemerand Drive,Alachua,Ben Hill Griffin Stadium,7.0,seq=3.2; last-mismatch:-4; fl:+10; county-miss:-8; us:+5
Marge Pearlson,Marge Pearlson Way,Miami-Dade,Raymond Pearlson,4.3,seq=13.3; human:+40; fl-miss:-10; county-miss:-8; us:+5; nobility:-40
Reverend Wilner Maxy,Reverend Wilner Maxy Street,Miami-Dade,,0.0,no-candidates
Brittan Alexander,Brittan Alexander Bridge,Citrus,Mia Hamm,43.4,seq=6.4; last-mismatch:-4; human:+40; fl-miss:-10; county:+8; us:+5
Burton R. Quinn,Burton R. Quinn Memorial Highway,Citrus,John Robert Schrieffer,63.5,seq=6.5; last-mismatch:-4; human:+40; fl:+10; county:+8; us:+5
Franklin Hair,Franklin Hair Bridge,Citrus,Don Franklin,53.8,seq=12.8; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Trooper Ronald Gordon Smith,Trooper Ronald Gordon Smith Memorial Bridge,Citrus,James W. Hutchins,42.0,seq=2.7; last-mismatch:-4; human:+40; le:+15; fl-miss:-10; county-miss:-8; us:+5
Lonnie Coburn,Deputy Lonnie Coburn Memorial Highway,Hernando,2018 in the United States,2.0,seq=5.3; last-mismatch:-4; le:+15; fl-miss:-10; county-miss:-8; us:+5
Art Pepin,Art Pepin Boulevard,Hillsborough,Jacques Pépin,31.9,seq=10.9; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5
August A. Busch,"August A. Busch, Jr. Boulevard",Hillsborough,August Busch IV,45.0,seq=16.0; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5
Corporal Michael Joseph Roberts,Corporal Michael Joseph Roberts Memorial Highway,Hillsborough,Joseph Iannuzzi,42.1,seq=6.1; last-mismatch:-4; human:+40; fl:+10; county-miss:-8
Fortune Taylor,Fortune Taylor Bridge,Hillsborough,Matthew Cox,63.0,seq=1.6; last-mismatch:-4; human:+40; fl:+10; county:+8; us:+5
Ivey Edward Cannon,Ivey Edward Cannon Memorial Bridge,Hillsborough,John Rutherford (Florida politician),47.0,seq=3.6; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Sun City Center,Sun City Center Boulevard,Hillsborough,Jane Davis Doggett,47.0,seq=4.8; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Trooper Kenneth E. Flynt,Trooper Kenneth E. Flynt Highway,Hillsborough,American Justice,2.0,seq=4.0; last-mismatch:-4; le:+15; fl-miss:-10; county-miss:-8; us:+5
W. Howard Frankland,W. Howard Frankland Bridge,Hillsborough,Tampa Bay,23.0,seq=2.9; last-mismatch:-4; fl:+10; county:+8; us:+5
W. T. Williams,W. T. Williams Bridge,Hillsborough,Stephen W. Williams,59.3,seq=13.3; human:+40; fl:+10; county-miss:-8
John C. Mecklenburg,"Deputy John C. Mecklenburg Memorial Highway
",Multiple Counties,"John I, Lord of Mecklenburg",0.0,seq=14.8; human:+40; le-missing:-50; fl-miss:-10; county-miss:-8; nobility:-40; roman:-25
Paul S. Buchman,Paul S. Buchman Highway,Multiple Counties,Frank Buchman,43.9,seq=12.9; human:+40; fl-miss:-10; county-miss:-8; us:+5
Agent John Van Waters,Agent John Van Waters Memorial Highway,Pasco,Benjamin Crump,63.9,seq=6.9; last-mismatch:-4; human:+40; fl:+10; county:+8; us:+5
Constable Arthur Fleece Crenshaw,Constable Arthur Fleece Crenshaw Memorial Highway,Pasco,,0.0,no-candidates
Darce Taylor Crist,Darce Taylor Crist Boulevard,Pasco,,0.0,no-candidates
Darce Taylor Crist,Darce Taylor Crist Highway,Pasco,,0.0,no-candidates
Father Felix Ullrich,Father Felix Ullrich Bridge,Pasco,Katie Kitching,49.2,seq=8.2; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
John Van Waters,John Van Waters Memorial Highway,Pasco,Van Smith,49.3,seq=8.3; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Purple Heart,Purple Heart Highway,Pasco,Plies (rapper),48.1,seq=7.1; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
State Trooper James Crooks,State Trooper James Crooks Highway,Pasco,Hank Earl Carr,17.0,seq=6.0; last-mismatch:-4; human:+40; le:+15; fl:+10; county-miss:-8; nobility:-40
Bob Graham/Sunshine Skyway,Bob Graham/Sunshine Skyway Bridge,Pinellas,Bob Graham,60.1,seq=11.1; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Edward Cole,Dr. Edward Cole Highway,Pinellas,Bill Edwards (businessman),67.4,seq=10.4; last-mismatch:-4; human:+40; fl:+10; county:+8; us:+5
St. Petersburg/William C. Cramer,St. Petersburg/William C. Cramer Memorial Highway,Pinellas,William C. Cramer,55.9,seq=13.9; human:+40; fl:+10; county:+8; us:+5; roman:-25
"William Ennels Dean, Jr","William Ennels Dean, Jr., Bridge",Pinellas,Rosa Parks,27.0,seq=3.6; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5
Officer Jesse Madsen,Officer Jesse Madsen Memorial Highway,Hillsborough,David Carradine,27.9,seq=6.9; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5
"Martin Luther King, Jr","Dr. Martin Luther King, Jr., Memorial Highway",Brevard,Martin Luther King Jr.,47.0,seq=19.1; human:+40; fl-miss:-10; county-miss:-8; us:+5
"Sgt. George Lee Taylor, Sr","Sgt. George Lee Taylor, Sr., Memorial Highway",Brevard,B. Brian Blair,48.0,seq=7.0; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Pio Ieraci,Pio Ieraci Memorial Drive,Broward,,0.0,no-candidates
Warren Alvarez,Warren Alvarez Memorial Bridge,Duval,Canelo Álvarez,33.9,seq=12.9; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5
Pensacola Police Fallen Heroes,Pensacola Police Fallen Heroes Highway,Escambia,Dean Norris,42.0,seq=5.9; last-mismatch:-4; human:+40; le:+15; fl-miss:-10; county-miss:-8; us:+5
Virginia Creighton,Virginia Creighton Bridge,Hillsborough,Ginni Thomas,47.7,seq=6.7; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
First Class Michael C. Aten,Sergeant First Class Michael C. Aten Memorial Highway,Lake,Akhenaten,0.0,seq=7.8; last-mismatch:-4; human:+40; mil-missing:-50; fl-miss:-10; county-miss:-8
Coach Guy Thomas,Coach Guy Thomas Memorial Highway,Lee,Brian Schottenheimer,47.7,seq=6.7; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Anthony Reznik,Anthony Reznik Boulevard,Miami-Dade,Kirill Reznik,41.4,seq=10.4; human:+40; fl-miss:-10; county-miss:-8; us:+5
Bellas Artes,Bellas Artes Way,Miami-Dade,Pedro Hernandez (artist),63.0,seq=4.4; last-mismatch:-4; human:+40; fl:+10; county:+8; us:+5
Oswaldo Payá,Oswaldo Payá Way,Miami-Dade,Oswaldo Payá,47.0,seq=20.0; human:+40; fl-miss:-10; county-miss:-8; us:+5
Cheryl H. Cates,Cheryl H. Cates Memorial Bridge,Monroe,Cheryl Palm,61.3,seq=12.3; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Purple Heart,Purple Heart Highway,Multiple Counties,Plies (rapper),48.1,seq=7.1; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Austin D. Gayne,Austin D. Gayne Memorial Highway,Orange,George Gaynes,29.6,seq=8.6; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5
Ira Mae Wells-Bruce,Ira Mae Wells-Bruce Memorial Highway,Santa Rosa,Octavia E. Butler,28.8,seq=7.8; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5
"Reverend Murray Hamilton, Sr","Reverend Murray Hamilton, Sr., Highway",Santa Rosa,Steve Spurrier,49.6,seq=8.6; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Private Tillman R. Clark,Private Tillman R. Clark Memorial Bridge,Taylor,Ramsey Clark,57.0,seq=10.0; human:+40; fl-miss:-10; county:+8; us:+5
"William Gentry, Jr","Deputy William Gentry, Jr., Highway",Highlands,Harry Lee (sheriff),42.0,seq=5.9; last-mismatch:-4; human:+40; le:+15; fl-miss:-10; county-miss:-8; us:+5
Bill Lundy,General Bill Lundy Highway,Okaloosa,Dick Lundy (baseball),65.0,seq=14.0; human:+40; fl:+10; county-miss:-8; us:+5
P. J. Langford,P. J. Langford Memorial Highway,Polk,Maryly Van Leer Peck,63.0,seq=4.7; last-mismatch:-4; human:+40; fl:+10; county:+8; us:+5
First Coast,First Coast Highway,Multiple Counties,First Coast,27.0,seq=20.0; fl:+10; county-miss:-8; us:+5
Georgia‐Florida Military,Georgia‐Florida Military Highway,Multiple Counties,George Mathews (soldier),29.4,seq=8.4; last-mismatch:-4; human:+40; mil:+15; fl:+10; county-miss:-8; us:+5; pre1900:-35
Hays Lewis,Hays Lewis Memorial Highway,Multiple Counties,Will H. Hays,28.3,seq=7.3; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5
Pierce Snowden,Pierce Snowden Highway,Multiple Counties,Janet Reno,49.3,seq=8.3; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Old Cutler Road State Historic,Old Cutler Road State Historic Highway,Miami‐Dade,"Miami-Dade County, Florida",7.4,seq=6.4; last-mismatch:-4; fl:+10; county-miss:-8; us:+5
Atlantic Beach,Atlantic Beach Boulevard,Multiple Counties,Atlantic Beach,27.0,seq=20.0; fl:+10; county-miss:-8; us:+5
Kenneth C. Mock,Kenneth C. Mock Highway,Palm Beach,Jeffrey Epstein,63.0,seq=2.7; last-mismatch:-4; human:+40; fl:+10; county:+8; us:+5
George Crady,George Crady Bridge,Multiple Counties,George Crady,67.0,seq=20.0; human:+40; fl:+10; county-miss:-8; us:+5
Christa McAuliffe,Christa McAuliffe Bridge,Brevard,Christa McAuliffe,47.0,seq=20.0; human:+40; fl-miss:-10; county-miss:-8; us:+5
Sheriff Barbara Ann Pill,Deputy Sheriff Barbara Ann Pill Memorial Highway,Brevard,Lynn Merrick,42.0,seq=4.4; last-mismatch:-4; human:+40; le:+15; fl-miss:-10; county-miss:-8; us:+5
Kyle Lee Patterson,Kyle Lee Patterson Memorial Way,Brevard,Jacory Patterson,63.9,seq=12.9; human:+40; fl:+10; county-miss:-8; us:+5
Archbishop Edward A. McCarthy High School,Archbishop Edward A. McCarthy High School Way,Broward,Edward A. McCarthy,68.2,seq=12.2; last-mismatch:-4; human:+40; rel:+15; fl:+10; county-miss:-8; us:+5
Coach Gwendolyn Maxwell,Coach Gwendolyn Maxwell Bridge to Ribault,Duval,Gwen Graham,48.1,seq=7.1; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Officer Christopher Michael Kane,Officer Christopher Michael Kane Highway,Duval,Carol Kane,37.7,seq=6.7; human:+40; fl-miss:-10; county-miss:-8; us:+5
Officer Scott Eric Bell,Officer Scott Eric Bell Highway,Duval,Wesley Bell,40.4,seq=9.4; human:+40; fl-miss:-10; county-miss:-8; us:+5
"Lewis Bear, Jr","Lewis Bear, Jr., Memorial Highway",Escambia,Jesse J. Finley,63.0,seq=2.8; last-mismatch:-4; human:+40; fl:+10; county:+8; us:+5
Senior Inspector Rita Jane Hall,Senior Inspector Rita Jane Hall Memorial Highway,Jefferson,Sarah Lancashire,22.0,seq=5.1; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8
Mama Elsa,Mama Elsa Street,Miami-Dade,Anne Revere,27.0,seq=6.0; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5
SSgt. Carl Philippe Enis,SSgt. Carl Philippe Enis Memorial Highway,Multiple Counties,,0.0,no-candidates
Corporal James McWhorter,Corporal James McWhorter Memorial Highway,Nassau,Pete Seeger,27.0,seq=5.7; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5
Officer Kevin Valencia,Officer Kevin Valencia Memorial Highway,Orange,Max Verstappen,43.0,seq=5.6; last-mismatch:-4; human:+40; fl-miss:-10; county:+8; us:+5
Lois D. Martin,Lois D. Martin Way,Palm Beach,Lois Lenski,53.6,seq=9.6; last-mismatch:-4; human:+40; fl:+10; county-miss:-8
Sheriff Michael Hartwick,Deputy Sheriff Michael Hartwick Memorial Highway,Pinellas,Eddie Jones (actor),42.0,seq=1.1; last-mismatch:-4; human:+40; le:+15; fl-miss:-10; county-miss:-8; us:+5
SPC Zachary L. Shannon,SPC Zachary L. Shannon Memorial Highway,Pinellas,"Tornado outbreak of March 31 – April 1, 2023",0.0,seq=4.8; last-mismatch:-4; fl-miss:-10; county-miss:-8; us:+5; nobility:-40
Rush Limbaugh,Rush Limbaugh Way,Hernando,Rush Limbaugh,47.0,seq=20.0; human:+40; fl-miss:-10; county-miss:-8; us:+5
